batch_size,chromosomeID,cross_prob,dnn_kl_weight,dnn_log_var_prior,dnn_weight,fitness,generationID,hostname,info,isTrained,kl_anneal,log_dir,model_dir,mutate_prob,num_conv_layers,num_dnn_layers,num_epochs,num_generations,num_vae_layers,optimizer,patience,population_size,prediction_log_var_prior,predictor_type,run_name,size_dnn_hidden,size_filter,size_kernel,size_pool,size_vae_hidden,size_vae_latent,table_dir,time_stamp,train_file,vae_kl_weight,vae_weight,w_kl_anneal
128,45,0.7,6.35,0.0,1.0,15.135,3,172.16.50.181,Child of 85 and 78,2,0,../data/logs,../data/models,0.05,1,2,25,50,3,adam,10,100,0.0,0,deleteme_1564421797,43,53,1,[],100,215,../data/tables,1564548621,MNIST,1390000.0,30.53,0
128,46,0.7,6.35,0.0,1.0,15.909,3,172.16.50.181,Descendant of 27 [Mutated],2,0,../data/logs,../data/models,0.05,1,3,25,50,2,adam,10,100,0.0,0,deleteme_1564421797,46,46,3,[],286,458,../data/tables,1564548945,MNIST,1390000.0,30.53,0
128,47,0.7,6.35,0.0,1.0,16.0459,3,172.16.50.177,Descendant of 54 [Mutated],2,0,../data/logs,../data/models,0.05,2,2,25,50,3,adam,10,100,0.0,0,deleteme_1564421797,253,68,0,[],334,416,../data/tables,1564549078,MNIST,1390000.0,30.53,0
128,48,0.7,6.35,0.0,1.0,14.8156,3,172.16.50.181,Child of 86 and 39,2,0,../data/logs,../data/models,0.05,2,1,25,50,2,adam,10,100,0.0,0,deleteme_1564421797,401,94,2,[],30,400,../data/tables,1564549338,MNIST,1390000.0,30.53,0
128,49,0.7,6.35,0.0,1.0,18.9632,3,172.16.50.218,Descendant of 15 [Mutated],2,0,../data/logs,../data/models,0.05,2,1,25,50,2,adam,10,100,0.0,0,deleteme_1564421797,356,65,6,[],147,461,../data/tables,1564562968,MNIST,1390000.0,30.53,0
128,50,0.7,6.35,0.0,1.0,18.204,3,172.16.50.163,Child of 74 and 35 [Mutated],2,0,../data/logs,../data/models,0.05,2,2,25,50,3,adam,10,100,0.0,0,deleteme_1564421797,43,93,3,[],200,463,../data/tables,1564549944,MNIST,1390000.0,30.53,0
128,51,0.7,6.35,0.0,1.0,14.7731,3,172.16.50.177,Child of 39 and 99,2,0,../data/logs,../data/models,0.05,1,1,25,50,1,adam,10,100,0.0,0,deleteme_1564421797,199,46,2,[],385,400,../data/tables,1564550014,MNIST,1390000.0,30.53,0
128,52,0.7,6.35,0.0,1.0,17.7863,3,172.16.50.177,Child of 5 and 22,2,0,../data/logs,../data/models,0.05,2,1,25,50,1,adam,10,100,0.0,0,deleteme_1564421797,490,123,4,[],393,292,../data/tables,1564550528,MNIST,1390000.0,30.53,0
128,53,0.7,6.35,0.0,1.0,10.3776,3,172.16.50.181,Descendant of 30,2,0,../data/logs,../data/models,0.05,2,1,25,50,1,adam,10,100,0.0,0,deleteme_1564421797,326,1,1,[],96,443,../data/tables,1564550705,MNIST,1390000.0,30.53,0
128,54,0.7,6.35,0.0,1.0,18.5896,3,172.16.50.181,Descendant of 81,2,0,../data/logs,../data/models,0.05,2,2,25,50,1,adam,10,100,0.0,0,deleteme_1564421797,253,46,3,[],216,484,../data/tables,1564550917,MNIST,1390000.0,30.53,0
128,55,0.7,6.35,0.0,1.0,16.8458,3,172.16.50.163,Child of 0 and 92 [Mutated],2,0,../data/logs,../data/models,0.05,2,2,25,50,3,adam,10,100,0.0,0,deleteme_1564421797,15,64,1,[],341,441,../data/tables,1564551185,MNIST,1390000.0,30.53,0
128,56,0.7,6.35,0.0,1.0,14.8026,3,172.16.50.181,Child of 48 and 13,2,0,../data/logs,../data/models,0.05,1,2,25,50,2,adam,10,100,0.0,0,deleteme_1564421797,190,46,2,[],36,280,../data/tables,1564551611,MNIST,1390000.0,30.53,0
128,57,0.7,6.35,0.0,1.0,14.7229,3,172.16.50.163,Child of 88 and 8,2,0,../data/logs,../data/models,0.05,1,3,25,50,2,adam,10,100,0.0,0,deleteme_1564421797,361,56,0,[],175,24,../data/tables,1564551918,MNIST,1390000.0,30.53,0
128,58,0.7,6.35,0.0,1.0,15.8208,3,172.16.50.181,Child of 97 and 74,2,0,../data/logs,../data/models,0.05,2,2,25,50,2,adam,10,100,0.0,0,deleteme_1564421797,91,85,0,[],200,463,../data/tables,1564551945,MNIST,1390000.0,30.53,0
128,59,0.7,6.35,0.0,1.0,14.8198,3,172.16.50.163,Child of 74 and 95,2,0,../data/logs,../data/models,0.05,2,3,25,50,2,adam,10,100,0.0,0,deleteme_1564421797,91,85,4,[],62,463,../data/tables,1564552476,MNIST,1390000.0,30.53,0
128,60,0.7,6.35,0.0,1.0,15.2587,3,172.16.50.181,Child of 48 and 33 [Mutated],2,0,../data/logs,../data/models,0.05,1,3,25,50,2,adam,10,100,0.0,0,deleteme_1564421797,337,85,3,[],392,278,../data/tables,1564552801,MNIST,1390000.0,30.53,0
128,61,0.7,6.35,0.0,1.0,14.8106,3,172.16.50.177,Descendant of 10,2,0,../data/logs,../data/models,0.05,1,3,25,50,1,adam,10,100,0.0,0,deleteme_1564421797,477,69,4,[],90,103,../data/tables,1564562737,MNIST,1390000.0,30.53,0
128,62,0.7,6.35,0.0,1.0,14.8148,3,172.16.50.214,Child of 2 and 32,2,0,../data/logs,../data/models,0.05,2,3,25,50,1,adam,10,100,0.0,0,deleteme_1564421797,109,103,3,[],60,164,../data/tables,1564566242,MNIST,1390000.0,30.53,0
128,63,0.7,6.35,0.0,1.0,17.2365,3,172.16.50.177,Descendant of 87 [Mutated],2,0,../data/logs,../data/models,0.05,2,2,25,50,2,adam,10,100,0.0,0,deleteme_1564421797,33,85,3,[],351,355,../data/tables,1564553118,MNIST,1390000.0,30.53,0
128,64,0.7,6.35,0.0,1.0,15.4333,3,172.16.50.163,Child of 36 and 47 [Mutated],2,0,../data/logs,../data/models,0.05,1,1,25,50,4,adam,10,100,0.0,0,deleteme_1564421797,189,48,5,[],334,207,../data/tables,1564553565,MNIST,1390000.0,30.53,0
128,65,0.7,6.35,0.0,1.0,17.9816,3,172.16.50.181,Child of 60 and 69,2,0,../data/logs,../data/models,0.05,2,3,25,50,2,adam,10,100,0.0,0,deleteme_1564421797,43,88,5,[],100,354,../data/tables,1564553815,MNIST,1390000.0,30.53,0
